week,dow,date,session,number,topic,materials,due,prepare,admin_notes
1,M,2026-06-29,Lec,0,Welcome,"🖥️ [slides 00](/slides/00-welcome-199-slides.html) <br> ⌨️ [ae 00](/ae/ae-00-github.html)",Github Survey - End of Lecture,,
,M,2026-06-29,Lab,0,Lab 0,💻 [lab 0](/lab/lab-0.html),Lab 0 - End of Lab,,
,T,2026-06-30,Lec,1,Meet the Toolkit,"🖥️ [slides 01](/slides/01-meet-the-toolkit-slides.html) <br> 🗒️ [notes 01](/slides/01-meet-the-toolkit.html) <br> ⌨️ [ae 01](/ae/ae-01-github.html)","","📗 [r4ds - intro](https://r4ds.hadley.nz/intro.html) <br> 📘 [ims - chp 1](https://openintro-ims.netlify.app/01-data-hello) <br> 🎥 [Meet the toolkit :: R and RStudio](https://warpwire.duke.edu/w/7WsIAA/) <br> 🎥 [Meet the toolkit :: Quarto](https://warpwire.duke.edu/w/62sIAA/) <br>",
,W,2026-07-01,Lec,2,Grammar of Data Visualization,"🖥️ [slides 02](/slides/02-data-grammar-slides.html) <br> 🗒️ [notes 02](/slides/02-data-grammar.html) <br> ⌨️ [ae 02](/ae/ae-02-github.html) <br> ✅ [ae 02](/ae/ae-02-github-A.html)","","📗 [r4ds - chp 1](https://r4ds.hadley.nz/data-visualize) <br> 📘 [ims - chp 4](https://openintro-ims.netlify.app/04-explore-categorical) <br>",
,Th,2026-07-02,Lec,3,More Data Visualization,"🖥️ [slides 03](/slides/03-more-vis-slides.html) <br> 🗒️ [notes 03](/slides/03-more-vis.html) <br> ⌨️ [ae 03](/ae/ae-03-github.html) <br> ✅ [ae 03](/ae/ae-03-github-A.html)","","📘 [ims - chp 5](https://openintro-ims.netlify.app/explore-numerical) <br> 🎥 [Visualizing Quantitative Data](https://www.youtube.com/watch?v=waBabVTI8ec) <br> 🎥 [Visualizing Categorical Data](https://www.youtube.com/watch?v=21h3rEO8k2E) <br>",
,Th,2026-07-02,Lab,1,Lab 1,💻 [lab 1](/lab/lab-1.html),,"📗 [r4ds - chp 2](https://r4ds.hadley.nz/workflow-basics) <br> 📘 [ims - chp 5](https://openintro-ims.netlify.app/explore-applications) <br>",
,F,2026-07-03,NC,,NO CLASS - Independence Day (Observed),,,,
2,M,2026-07-06,Lec,4,Grammar of Data Transformation,"🖥️ [slides 04](/slides/04-data-transform-slides.html) <br> 🗒️ [notes 04](/slides/04-data-transform.html) <br> ⌨️ [ae 04](/ae/ae-04-github.html) <br> ✅ [ae 04](/ae/ae-04-github-A.html)",Lab 1 - 11:59PM ET,"📗 [r4ds - chp 3.1-3.5](https://r4ds.hadley.nz/workflow-style) <br>",
,T,2026-07-07,Lec,5,More Data Transformation,"🖥️ [slides 05](/slides/05-data-transform-2-slides.html) <br> 🗒️ [notes 05](/slides/05-data-transform.html) <br> ⌨️ [ae 05](/ae/ae-05-github.html) <br> ✅ [ae 05](/ae/ae-05-github-A.html)","","📗 [r4ds - chp 3.6-3.7](https://r4ds.hadley.nz/workflow-style) <br> 🎥 [Working with a single data frame](https://www.youtube.com/watch?v=0229Uq2hkJo)",
,W,2026-07-08,Lec,6,Tidying Data,"🖥️ [slides 06](/slides/06-data-tidy-slides.html) <br> 🗒️ [notes 06](/slides/06-data-tidy.html) <br> ⌨️ [ae 06](/ae/ae-06-github.html) <br> ✅ [ae 06](/ae/ae-06-github-A.html)","","📗 [r4ds - chp 5](https://r4ds.hadley.nz/data-tidy) <br> 📘 [ims - chp 6](https://openintro-ims.netlify.app/explore-applications) <br>",
,Th,2026-07-09,Lec,7,Joining Data,"🖥️ [slides 07](/slides/07-joining-data-slides.html) <br> 🗒️ [notes 07](/slides/06-joining-data.html) <br> ⌨️ [ae 07](/ae/ae-07-github.html) <br> ✅ [ae 07](/ae/ae-07-github-A.html)","","🎥 [Joining data](https://warpwire.duke.edu/w/6XYIAA/) <br> 🎥 [Code along :: Continent populations](https://warpwire.duke.edu/w/4XYIAA/) <br> 📗 [r4ds - chp 19.1-19.3](https://r4ds.hadley.nz/joins)",
,Th,2026-07-09,Lab,2,Lab 2,💻 [lab 2](/lab/lab-2.html),,"📗 [r4ds - chp 4](https://r4ds.hadley.nz/workflow-style) <br> 🎥 [Tidy data](https://warpwire.duke.edu/w/0XYIAA/) <br> 🎥 [Tidying data](https://warpwire.duke.edu/w/z3YIAA/) <br> 🎥 [Code Along: Population over time](https://warpwire.duke.edu/w/43YIAA/) <br>",
,F,2026-07-10,Lec,8,Data Types and Classes,"🖥️ [slides 08](/slides/08-data-types-slides.html) <br> 🗒️ [notes 08](/slides/08-data-types.html) <br> ⌨️ [ae 08](/ae/ae-08-github.html) <br> ✅ [ae 08](/ae/ae-08-github-A.html)","","🎥 [Data types](https://warpwire.duke.edu/w/53YIAA/) <br> 🎥 [Data classes](https://warpwire.duke.edu/w/5XYIAA/) <br> 🎥 [Code along :: That's my type](https://warpwire.duke.edu/w/33YIAA/) <br> 📗 [r4ds - chp 16](https://r4ds.hadley.nz/factors)",
3,M,2026-07-13,Lec,9,Importing and Recoding Data,"🖥️ [slides 09](/slides/09-import-slides.html) <br> 🗒️ [notes 09](/slides/09-import.html) <br> ⌨️ [ae 09](/ae/ae-09-github.html) <br> ✅ [ae 09](/ae/ae-09-github-A.html)",Lab 2 - 11:59PM ET,"🎥 [Importing data](https://warpwire.duke.edu/w/zXYIAA/) <br> 🎥 [Code along :: Student survey](https://warpwire.duke.edu/w/23YIAA/) <br> 📗 [r4ds - chp 7](https://r4ds.hadley.nz/data-import.html)",
,M,2026-07-13,Lab,3,Lab 3,"💻 [lab 3](/lab/lab-3.html) <br> ✅ [lab 3](https://canvas.duke.edu/courses/56756/files?preview=3141111)",,,
,T,2026-07-14,Lec,10,More Practice + Midterm Review,"🖥️ [slides 10](/slides/10-practice-slides.html) <br> 🗒️ [notes 10](/slides/10-practice.html) <br> ⌨️ [ae 10](/ae/ae-10-github.html) <br> ✅ [ae 10](/ae/ae-10-github-A.html)",,,
,W,2026-07-15,Lec,11,Midterm Review,"🖥️ [slides 11](/slides/11-review-slides.html) <br> 🗒️ [notes 11](/slides/11-review.html) <br> 📊 [Kahoot!!](https://create.kahoot.it/share/sta199-exam-1-review/a94633d9-18db-4a2c-91a8-9cdcf05f0124) <br>",Lab 3 - 11:59PM ET,,
,Th,2026-07-16,Lab,P1,Project Milestone 1 - Collaboration,💻 [Project Milestone 1](/project/1-working-collaboratively.html),Project Milestone 1 - 12:30PM ET,,
,F,2026-07-17,exam,13,Midterm,,,,
4,M,2026-07-20,Lec,12,Data Science Ethics,"🖥️ [slides 12](/slides/12-ethics-slides.html) <br> 🗒️ [notes 12](/slides/12-ethics.html) <br>",Midterm Takehome - 9:30AM ET,"📕 [mdsr - chp 8](https://mdsr-book.github.io/mdsr2e/ch-ethics.html) <br> 📝 [How to make a racist AI in R without really trying](https://notstatschat.rbind.io/2018/09/27/how-to-write-a-racist-ai-in-r-without-really-trying/) <br> 🎥 [Alberto Cairo - How charts lie](https://youtu.be/Low28hx4wyk) <br> 🎥 [Joy Buolamwini - How I'm fighting bias in algorithms](https://youtu.be/UG_X_7g63rY)",
,T,2026-07-21,Lec,14,The Language of Models,"🖥️ [slides 13](/slides/13-language-models-slides.html) <br> 🗒️ [notes 13](/slides/13-language-models.html) <br> ⌨️ [ae 11](/ae/ae-11-github.html) <br> ✅ [ae 11](/ae/ae-11-github-A.html)","","🎥 [The language of models](https://youtu.be/MWkkvDopBKc) <br> 📘 [ims - chp 7.1](https://openintro-ims.netlify.app/07-model-slr) <br> 🎥 [Fitting and interpreting models](https://youtu.be/69U92Q3pwnA) <br> 🎥 [Modeling nonlinear relationships](https://youtu.be/j4MZ6ZdHnHg) <br> 📘 [ims - chp 7.2](https://openintro-ims.netlify.app/07-model-slr#sec-least-squares-regression)",
,W,2026-07-22,Lec,15,Simple Linear Regression,"🖥️ [slides 14](/slides/14-simple-reg-slides.html) <br> 🗒️ [notes 14](/slides/14-simple-reg.html) <br> ⌨️ [ae 12](/ae/ae-12-github.html) <br> ✅ [ae 12](/ae/ae-12-github-A.html)",,,
,Th,2026-07-23,Lec,16,Multiple Linear Regression 1,"🖥️ [slides 15](/slides/15-mult-reg-slides.html) <br> 🗒️ [notes 15](/slides/15-mult-reg.html) <br>","","🎥 [Models with multiple predictors](https://youtu.be/mjkNabD4oi4) <br> 🎥 [More models with multiple predictors](https://youtu.be/nJAYRnLPb10) <br> 📘 [ims - chp 8.1-8.2](https://openintro-ims.netlify.app/model-mlr.html)",
,Th,2026-07-23,Lab,P2,Project Milestone 2 - Proposals,,,,
,F,2026-07-24,Lec,17,Multiple Linear Regression 2,"🖥️ [slides 16](/slides/16-mult-reg-2-slides.html) <br> 🗒️ [notes 16](/slides/16-mult-reg-2.html) <br> ⌨️ [ae 13](/ae/ae-13-github.html) <br>","","📘 [ims - chp 8.3-8.5](https://openintro-ims.netlify.app/model-mlr.html)",
,Sun,2026-07-26,,,,,Project Milestone 2 - 11:59PM ET,,
5,M,2026-07-27,Lec,18,Model Selection,"🖥️ [slides 17](/slides/17-model-select-slides.html) <br> 🗒️ [notes 17](/slides/17-model-select.html) <br> ⌨️ [ae 13](/ae/ae-13-github.html) <br> ✅ [ae 13](/ae/ae-13-github-A.html)",,,
,M,2026-07-27,Lab,4,Lab 4,💻 [lab 4](/lab/lab-4.html),,,
,T,2026-07-28,Lec,19,Logistic Regression 1,"🖥️ [slides 18](/slides/18-logistic-slides.html) <br> 🗒️ [notes 18](/slides/18-logistic.html) <br> ⌨️ [ae 14](/ae/ae-14-github.html) <br> ✅ [ae 14](/ae/ae-14-github-A.html)","Lab 4 - 11:59PM ET <br> Peer Feedback Survey - 11:59PM ET","📘 [ims - chp 9](https://openintro-ims.netlify.app/model-logistic.html#model-logistic)",
,W,2026-07-29,Lec,20,Logistic Regression 2,"🖥️ [slides 19](/slides/19-logistic-2-slides.html) <br> 🗒️ [notes 19](/slides/19-logistic-2.html) <br> ⌨️ [ae 15](/ae/ae-15-github.html) <br> ✅ [ae 15](/ae/ae-15-github-A.html) <br>","","🎥 [Logistic regression](https://youtu.be/AidXFYSYfJg) <br> 🎥 [Prediction and overfitting](https://youtu.be/Qd4lu_Lmwi0)",
,Th,2026-07-30,Lec,21,Intervals,"🖥️ [slides 20](/slides/20-bootstrap-slides.html) <br> 🗒️ [notes 20](/slides/20-bootstrap.html) <br> ⌨️ [ae 16](/ae/ae-16-github.html) <br> ✅ [ae 16](/ae/ae-16-github-A.html) <br>","","🎥 [Quantifying uncertainty](https://www.youtube.com/watch?v=LYpKrtZmQtI) <br> 🎥 [Bootstrapping](https://youtu.be/bdqpI3iVOso) <br> 📘 [ims - chp 12](https://openintro-ims.netlify.app/12-foundations-bootstrapping)",
,Th,2026-07-30,Lab,5,Lab 5,💻 [lab 5](/lab/lab-5.html),,,
,F,2026-07-31,Lec,22,Hypothesis Testing,"🖥️ [slides 21](/slides/21-hypothesis-test-slides.html) <br> 🗒️ [notes 21](/slides/21-hypothesis-test.html) <br> ⌨️ [ae 17](/ae/ae-17-github.html) <br> ✅ [ae 17](/ae/ae-17-github-A.html) <br>","Lab 5 - 11:59PM ET <br> Project Milestone 3 - 11:59PM ET","📘 [ims - chp 11](https://openintro-ims.netlify.app/11-foundations-randomization)",
6,M,2026-08-03,Lec,23,More Inference,"🖥️ [slides 22](/slides/22-more-inference-slides.html) <br> 🗒️ [notes 22](/slides/22-more-inference.html) <br>",,,
,M,2026-08-03,Lab,P4,Project Milestone 4 - Peer Review,💻 [Code Options](/lab/milestone-4-slides.html),Project Milestone 4 - 12:30PM ET,,
,M,2026-08-03,Lab,6,Lab 6,💻 [lab 6](/lab/lab-6.html),,,
,T,2026-08-04,Lec,24,More Inference,"🖥️ [slides 23](/slides/23-inference-recap-slides.html) <br> 🗒️ [notes 23](/slides/23-inference-recap.html) <br> ⌨️ [ae 18](/ae/ae-18-github.html) <br> ✅ [ae 18](/ae/ae-18-github-A.html) <br>",,,
,W,2026-08-05,Lec,25,Final Review,"🖥️ [slides 25](/slides/25-final-review-slides.html) <br> 🗒️ [notes 25](/slides/25-final-review.html) <br> 💯 [Grade Calculator](https://canvas.duke.edu/courses/56756/files)",,,
,Th,2026-08-06,Lab,P5,Project Milestone 5 - Presentations,,"Project - 9:30 AM <br> Lab 6 - 11:59PM ET",,
,F,2026-08-07,exam,,FINAL EXAM - Date TBD,,,,
